"Asset ID","Priority","Target Spec File","Live Output Filename","Target Page","Target Section","Format","Core Clean Gate","Primary Evidence","Reject If"
"LF-01","Must","connections-list-quick-start-preview-apply-2026-06-27.gif","live-connections-list-quick-start-preview-apply-2026-06-27.gif","list-feature.md","Quick start: preview one result, then use it","GIF","Required","Current note -> related result -> preview -> chosen link/sentence","Starts from search, graph, settings, Lookup, Pro label, or result list without note improvement"
"LF-02","Must","connections-list-orientation-current-note-result-preview-action-2026-06-27.png","live-connections-list-orientation-current-note-result-preview-action-2026-06-27.png","list-feature.md","Understanding the list","PNG","Required","Current note, Connections results, preview, and use target visible together","Scores or controls become the main proof"
"LF-03","Must","connections-list-preview-without-leaving-note-2026-06-27.gif","live-connections-list-preview-without-leaving-note-2026-06-27.gif","list-feature.md","Preview without leaving the note","GIF","Required","Expanded result/preview while active note remains visible","Preview is only a hover trick or requires leaving the note"
"LF-04","Must","connections-list-drag-result-into-related-section-2026-06-27.gif","live-connections-list-drag-result-into-related-section-2026-06-27.gif","list-feature.md","Drag one useful result into your note","GIF","Required","Chosen result becomes a visible Obsidian link in ## Related","Inserted text/link is mocked or appears without visible user choice"
"LF-05","Should","connections-list-pause-holds-anchor-while-browsing-2026-06-27.gif","live-connections-list-pause-holds-anchor-while-browsing-2026-06-27.gif","list-feature.md","Hold one anchor steady with Pause","GIF","Required","Pause holds the original current-note anchor while browsing a result","Pause appears before first-value workflow or labels are stale"
"LF-06","Should","connections-list-play-pause-refresh-recovery-2026-06-27.png","live-connections-list-play-pause-refresh-recovery-2026-06-27.png","list-feature.md","When results feel stale or stuck","PNG","Required","Play/Pause or exact current equivalent, Refresh, and active-note title visible","Looks like an advanced controls tutorial"
"FT-01","Must","connections-footer-finish-review-add-link-2026-06-27.gif","live-connections-footer-finish-review-add-link-2026-06-27.gif","footer.md","Quick start: finish, review, add one link","GIF","Required","End of note -> footer appears -> one result previewed -> one link added","Footer looks like a sidebar/list destination or shows Pro-only label"
"FT-02","Must","connections-footer-orientation-bottom-of-note-2026-06-27.png","live-connections-footer-orientation-bottom-of-note-2026-06-27.png","footer.md","What the footer is for","PNG","Required","Bottom of note, footer header, top results, and link insertion area","Screenshot does not prove footer is attached to the note end"
"FT-03","Should","connections-footer-mobile-no-sidebar-linking-2026-06-27.gif","live-connections-footer-mobile-no-sidebar-linking-2026-06-27.gif","footer.md","Especially useful on mobile and no-sidebar workflows","GIF","Required","Footer workflow without sidebar dependence","Claims mobile behavior not verified in current UI"
"FT-04","Should","connections-footer-enable-and-bottom-visibility-2026-06-27.png","live-connections-footer-enable-and-bottom-visibility-2026-06-27.png","footer.md","If the footer does not help","PNG","Required","Footer enabled/toggled and footer visible at note bottom","Full settings page or Pro-only control dominates"
"WF-01","Must","connections-workflow-end-of-note-linking-pass-2026-06-27.gif","live-connections-workflow-end-of-note-linking-pass-2026-06-27.gif","End-of-note workflow","Quick start","GIF","Required","Finish note -> review related results -> add one useful relationship -> move on","Workflow becomes a bulk cleanup or auto-linking claim"
"WF-02","Should","connections-workflow-choose-deliberately-add-or-skip-2026-06-27.png","live-connections-workflow-choose-deliberately-add-or-skip-2026-06-27.png","End-of-note workflow","Choose deliberately","PNG","Required","One selected useful result and one deliberately ignored adjacent result","Weak result is framed as product failure or the selected link is not visible"
